gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
2464444735																										CAR:1222:2017:00606									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:1222:2017:00606			Cesar Talero								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-10-10	09:00:00			2017	10	10			Parcela									SA				Colombia	CO	Boyacá	Chiquinquirá		Parque Juan Pablo segund		2661										5.607994	-73.810256	WGS84																																							Cesar Talero	2017-10-10												Quercus humboldtii								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		Especie		L.	Roble						
2464444734																										CAR:1222:2017:00602									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:1222:2017:00602			Cesar Talero								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-09-22	09:00:00			2017	09	22			Puntual									SA				Colombia	CO	Cundinamarca	San Francisco		Las Lajas		2819										4.950608	-74.22996	WGS84																																							Cesar Talero	2017-09-22												Quercus humboldtii								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		Especie		L.	Roble						
2464444733																										CAR:1222:2017:00598									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:1222:2017:00598			Cesar Talero								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-09-22	09:25:00			2017	09	22			Puntual									SA				Colombia	CO	Cundinamarca	San Francisco		Las Lajas		2824										4.941474	-74.229904	WGS84																																							Cesar Talero	2017-09-22												Quercus humboldtii								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		Especie		L.	Roble						
2464444732																										CAR:1222:2017:00594									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:1222:2017:00594			Cesar Talero								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-09-22	09:05:00			2017	09	22			Puntual									SA				Colombia	CO	Cundinamarca	San Francisco		Las Lajas		2816										4.94103	-74.094315	WGS84																																							Cesar Talero	2017-09-22												Quercus humboldtii								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		Especie		L.	Roble						
2464444731																										CAR:1222:2017:00590									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:1222:2017:00590			Cesar Talero								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-11-24	10:15:00			2017	11	24			Puntual									SA				Colombia	CO	Cundinamarca	Cabrera		Pueblo viejo		2045										3.913876	-74.440601	WGS84																																							Cesar Talero	2017-11-24												Quercus humboldtii								Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercus		humboldtii		Especie		L.	Roble						
2464444730																										CAR:1222:2017:00491									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:1222:2017:00491			Cesar Talero								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-11-09				2017	11	09			Puntual									SA				Colombia	CO	Cundinamarca	Anapoima		El Triunfo		800										4.545047	-74.499287	WGS84																																							Cesar Talero	2017-11-09												Attalea buttyracea								Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Attalea		buttyracea		Especie		Kunth	Palma de vino						
2464444729																										CAR:1222:2017:00488									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:1222:2017:00488			Cesar Talero								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-11-09				2017	11	09			Puntual									SA				Colombia	CO	Cundinamarca	Anapoima		El Copial		697										4.521569	-74.560303	WGS84																																							Cesar Talero	2017-11-09												Attalea buttyracea								Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Attalea		buttyracea		Especie		Kunth	Palma de vino						
2464444728																										CAR:1222:2017:00484									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:1222:2017:00484			Cesar Talero								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-10-11	13:00:00			2017	10	11			Puntual									SA				Colombia	CO	Cundinamarca	Vergara		La Montaña		1586										5.092089	-74.353248	WGS84																																							Cesar Talero	2017-10-11												Ceroxylon								Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Ceroxylon				Género		Bonpl. ex DC.	Palma de cera						
2464444727																										CAR:1222:2017:00480									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:1222:2017:00480			Cesar Talero								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-10-11	12:45:00			2017	10	11			Puntual									SA				Colombia	CO	Cundinamarca	Vergara		La Montaña		1616										5.090283	-74.347142	WGS84																																							Cesar Talero	2017-10-11												Ceroxylon								Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Ceroxylon				Género		Bonpl. ex DC.	Palma de cera						
2464444726																										CAR:1222:2017:00477									es												Corporación Autonoma regional de Cundinamarca (CAR)							Imagén estática		899.999.062-6		CAR:1222:2017	Corporación Autonoma regional de Cundinamarca (CAR)		Biodiversidad Jurisdicción CAR		MachineObservation				CAR:1222:2017:00477			Cesar Talero								Silvestre									Datos tomados por la Dirección de Recursos Naturales DRN - Grupo de Biodiversidad. Inventario y Monitoreo de la Biodiversidad												2017-10-06	11:40:00			2017	10	06			Puntual									SA				Colombia	CO	Cundinamarca	Vergara		Montedulce		1416										5.08088	-74.267975	WGS84																																							Cesar Talero	2017-10-06												Ceroxylon								Plantae	Tracheophyta	Liliopsida	Arecales	Arecaceae	Ceroxylon				Género		Bonpl. ex DC.	Palma de cera						
