ESTACIÓN,CÓDIGO,X=N,Y=E,MUNICIPIO,CUENCA,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1985,0,20.1,21.4,19.9,20.2,18.8,19.5,19.8,19.9,19.2,19,19.9
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1986,19.8,18.5,20.3,0,0,19,18,19.2,20.2,20.9,20,20.2
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1991,22.5,22,21.9,23,22,21.9,18.1,19,20.5,20,19,18.9
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1992,21,22.9,23,21.8,22.5,23,22,22.1,22,21,21,20
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1993,18,18,17.2,19,20,18.2,19,20.5,21.5,21,20,20.9
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1994,18.9,19.2,21.8,20.9,21.2,22.8,21,20.1,21,19.1,20,20.1
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1995,21.1,24,21,20,21,17.8,20,18.2,18.5,18,20,19
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1996,18.8,19.5,20,20.5,18.8,20,19.5,19.8,20,20,19.8,21.5
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1997,20,23.5,22.5,22,22.2,22.5,21.5,22.8,23,0,20.5,22
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1998,22,22.5,22.8,22.2,23.5,21.8,17,18,17.8,17,17.5,0
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,1999,0,16.5,17,18,18.2,19,18.2,19,19.2,18.2,18.2,18.2
Venecia,2120629,1027480,964155,Facatativá,R. Bojacá,2000,18.5,19.5,18.5,19,18.5,21.5,21.5,19,20,20.5,19.5,20
